,date,category_id,sku_id,sales_price,sales_quantity
0,2020-11-01,7,1045,284.7,
1,2020-11-02,7,1045,284.7,
2,2020-11-03,7,1045,284.7,
3,2020-11-04,7,1045,284.7,
4,2020-11-05,7,1045,284.7,
5,2020-11-06,7,1045,284.7,
6,2020-11-07,7,1045,284.7,
7,2020-11-08,7,1045,284.7,
8,2020-11-09,7,1045,284.7,
9,2020-11-10,7,1045,284.7,
10,2020-11-11,7,1045,284.7,
11,2020-11-12,7,1045,284.7,
12,2020-11-13,7,1045,369.2,
13,2020-11-14,7,1045,369.2,
14,2020-11-01,7,1047,687.7,
15,2020-11-02,7,1047,687.7,
16,2020-11-03,7,1047,687.7,
17,2020-11-04,7,1047,687.7,
18,2020-11-05,7,1047,687.7,
19,2020-11-06,7,1047,687.7,
20,2020-11-07,7,1047,687.7,
21,2020-11-08,7,1047,687.7,
22,2020-11-09,7,1047,687.7,
23,2020-11-10,7,1047,687.7,
24,2020-11-11,7,1047,687.7,
25,2020-11-12,7,1047,687.7,
26,2020-11-13,7,1047,895.7,
27,2020-11-14,7,1047,895.7,
28,2020-11-01,7,1108,499.20000000000005,
29,2020-11-02,7,1108,499.20000000000005,
30,2020-11-03,7,1108,499.20000000000005,
31,2020-11-04,7,1108,499.20000000000005,
32,2020-11-05,7,1108,499.20000000000005,
33,2020-11-06,7,1108,499.20000000000005,
34,2020-11-07,7,1108,499.20000000000005,
35,2020-11-08,7,1108,499.20000000000005,
36,2020-11-09,7,1108,499.20000000000005,
37,2020-11-10,7,1108,499.20000000000005,
38,2020-11-11,7,1108,499.20000000000005,
39,2020-11-12,7,1108,499.20000000000005,
40,2020-11-13,7,1108,499.20000000000005,
41,2020-11-14,7,1108,499.20000000000005,
42,2020-11-01,7,1172,453.7,
43,2020-11-02,7,1172,453.7,
44,2020-11-03,7,1172,453.7,
45,2020-11-04,7,1172,453.7,
46,2020-11-05,7,1172,453.7,
47,2020-11-06,7,1172,453.7,
48,2020-11-07,7,1172,453.7,
49,2020-11-08,7,1172,453.7,
50,2020-11-09,7,1172,453.7,
51,2020-11-10,7,1172,453.7,
52,2020-11-11,7,1172,453.7,
53,2020-11-12,7,1172,453.7,
54,2020-11-13,7,1172,590.2,
55,2020-11-14,7,1172,590.2,
56,2020-11-01,7,1179,505.70000000000005,
57,2020-11-02,7,1179,505.70000000000005,
58,2020-11-03,7,1179,505.70000000000005,
59,2020-11-04,7,1179,505.70000000000005,
60,2020-11-05,7,1179,505.70000000000005,
61,2020-11-06,7,1179,505.70000000000005,
62,2020-11-07,7,1179,505.70000000000005,
63,2020-11-08,7,1179,505.70000000000005,
64,2020-11-09,7,1179,505.70000000000005,
65,2020-11-10,7,1179,505.70000000000005,
66,2020-11-11,7,1179,505.70000000000005,
67,2020-11-12,7,1179,505.70000000000005,
68,2020-11-13,7,1179,648.7,
69,2020-11-14,7,1179,648.7,
70,2020-11-01,7,1634,1168.7,
71,2020-11-02,7,1634,1168.7,
72,2020-11-03,7,1634,1168.7,
73,2020-11-04,7,1634,1168.7,
74,2020-11-05,7,1634,1168.7,
75,2020-11-06,7,1634,1168.7,
76,2020-11-07,7,1634,1168.7,
77,2020-11-08,7,1634,1168.7,
78,2020-11-09,7,1634,1168.7,
79,2020-11-10,7,1634,1168.7,
80,2020-11-11,7,1634,1168.7,
81,2020-11-12,7,1634,1168.7,
82,2020-11-13,7,1634,1168.7,
83,2020-11-14,7,1634,1168.7,
84,2020-11-01,7,1635,830.7,
85,2020-11-02,7,1635,830.7,
86,2020-11-03,7,1635,830.7,
87,2020-11-04,7,1635,830.7,
88,2020-11-05,7,1635,830.7,
89,2020-11-06,7,1635,830.7,
90,2020-11-07,7,1635,830.7,
91,2020-11-08,7,1635,830.7,
92,2020-11-09,7,1635,830.7,
93,2020-11-10,7,1635,830.7,
94,2020-11-11,7,1635,830.7,
95,2020-11-12,7,1635,830.7,
96,2020-11-13,7,1635,830.7,
97,2020-11-14,7,1635,830.7,
98,2020-11-01,7,2715,1071.2,
